seqid,start,end,strand,gene_name
NZ_LR881938.1,190,255,+,thrL
NZ_LR881938.1,337,2799,+,thrA
NZ_LR881938.1,2801,3733,+,thrB
NZ_LR881938.1,3734,5020,+,thrC
NZ_LR881938.1,5234,5530,+,yaaX
NZ_LR881938.1,5683,6459,-,yaaA
NZ_LR881938.1,6529,7959,-,yaaJ
NZ_LR881938.1,8238,9191,+,tal
NZ_LR881938.1,9306,9893,+,mog
NZ_LR881938.1,9928,10494,-,satP
NZ_LR881938.1,10643,11356,-,msyB
NZ_LR881938.1,11382,11786,-,yaaI
NZ_LR881938.1,12163,14079,+,dnaK
NZ_LR881938.1,14168,15298,+,dnaJ
NZ_LR881938.1,15445,16557,+,IEU92_RS00075
NZ_LR881938.1,16751,16903,-,mokC
NZ_LR881938.1,17489,18655,+,nhaA
NZ_LR881938.1,18721,19620,+,nhaR
NZ_LR881938.1,19811,20508,-,IEU92_RS00100
NZ_LR881938.1,20815,21078,-,rpsT
NZ_LR881938.1,21181,21399,+,yaaY
NZ_LR881938.1,21407,22348,+,ribF
NZ_LR881938.1,22391,25207,+,ileS
NZ_LR881938.1,25207,25701,+,lspA
NZ_LR881938.1,25826,26275,+,fkpB
NZ_LR881938.1,26277,27227,+,ispH
NZ_LR881938.1,27293,28207,+,rihC
NZ_LR881938.1,28374,29195,+,dapB
NZ_LR881938.1,29651,30799,+,carA
NZ_LR881938.1,30817,34038,+,carB
NZ_LR881938.1,34300,34695,+,caiF
NZ_LR881938.1,34781,35371,-,caiE
NZ_LR881938.1,35377,36162,-,caiD
NZ_LR881938.1,36271,37824,-,caiC
NZ_LR881938.1,37898,39115,-,caiB
NZ_LR881938.1,39244,40386,-,caiA
NZ_LR881938.1,40417,41931,-,caiT
NZ_LR881938.1,42403,43173,+,fixA
NZ_LR881938.1,43188,44129,+,fixB
NZ_LR881938.1,44180,45466,+,fixC
NZ_LR881938.1,45463,45750,+,fixX
NZ_LR881938.1,45807,47138,+,yaaU
